T: 2018-09-13T11:00:00Z | O: 0.0014896 | H: 0.0014908 | L: 0.0014757 | C: 0.0014813 | V: 35810.28 | MOM: 3.230000000000008E-5
T: 2018-09-13T12:00:00Z | O: 0.0014812 | H: 0.0014944 | L: 0.0014749 | C: 0.0014854 | V: 35628.88 | MOM: 4.349999999999992E-5
T: 2018-09-13T13:00:00Z | O: 0.0014854 | H: 0.0014892 | L: 0.001478 | C: 0.001481 | V: 37587.63 | MOM: 3.629999999999996E-5
T: 2018-09-13T14:00:00Z | O: 0.0014809 | H: 0.0014917 | L: 0.0014751 | C: 0.0014863 | V: 48954.37 | MOM: 3.510000000000015E-5
T: 2018-09-13T15:00:00Z | O: 0.0014863 | H: 0.0014904 | L: 0.00147 | C: 0.0014778 | V: 45692.71 | MOM: 1.5999999999999955E-5
T: 2018-09-13T16:00:00Z | O: 0.0014764 | H: 0.0014816 | L: 0.001471 | C: 0.0014773 | V: 27276.57 | MOM: 8.999999999999894E-6
T: 2018-09-13T17:00:00Z | O: 0.0014773 | H: 0.0014919 | L: 0.0014764 | C: 0.0014792 | V: 51406.37 | MOM: 1.7199999999999984E-5
T: 2018-09-13T18:00:00Z | O: 0.0014827 | H: 0.0014886 | L: 0.001465 | C: 0.001475 | V: 41263.2 | MOM: 1.0899999999999885E-5
T: 2018-09-13T19:00:00Z | O: 0.0014751 | H: 0.0014858 | L: 0.0014638 | C: 0.0014702 | V: 44569.6 | MOM: 5.400000000000023E-6
T: 2018-09-13T20:00:00Z | O: 0.0014691 | H: 0.0014713 | L: 0.0014559 | C: 0.0014665 | V: 44324.0 | MOM: 8.399999999999987E-6
T: 2018-09-13T21:00:00Z | O: 0.0014666 | H: 0.0014711 | L: 0.0014548 | C: 0.0014682 | V: 38967.07 | MOM: -2.999999999999531E-7
T: 2018-09-13T22:00:00Z | O: 0.0014682 | H: 0.0014719 | L: 0.0014596 | C: 0.0014717 | V: 58272.79 | MOM: 7.000000000000062E-6
T: 2018-09-13T23:00:00Z | O: 0.001471 | H: 0.001483 | L: 0.0014677 | C: 0.0014786 | V: 77535.42 | MOM: 5.000000000000664E-7
T: 2018-09-14T00:00:00Z | O: 0.001478 | H: 0.0014877 | L: 0.0014754 | C: 0.0014814 | V: 86570.2 | MOM: -8.200000000000091E-6
T: 2018-09-14T01:00:00Z | O: 0.0014791 | H: 0.0014854 | L: 0.0014716 | C: 0.0014723 | V: 30292.9 | MOM: -9.00000000000011E-6
T: 2018-09-14T02:00:00Z | O: 0.0014724 | H: 0.0014988 | L: 0.0014717 | C: 0.0014873 | V: 66059.97 | MOM: 1.899999999999992E-6
T: 2018-09-14T03:00:00Z | O: 0.0014845 | H: 0.0015028 | L: 0.0014807 | C: 0.0014906 | V: 99293.57 | MOM: 9.600000000000017E-6
T: 2018-09-14T04:00:00Z | O: 0.0014906 | H: 0.0014923 | L: 0.0014771 | C: 0.0014833 | V: 39247.21 | MOM: -3.0000000000001813E-6
T: 2018-09-14T05:00:00Z | O: 0.0014831 | H: 0.0014881 | L: 0.0014687 | C: 0.0014819 | V: 43587.09 | MOM: 4.099999999999937E-6
T: 2018-09-14T06:00:00Z | O: 0.0014817 | H: 0.0015077 | L: 0.0014779 | C: 0.0014912 | V: 102280.35 | MOM: 1.3900000000000067E-5
T: 2018-09-14T07:00:00Z | O: 0.0014913 | H: 0.0015021 | L: 0.0014805 | C: 0.0014893 | V: 31329.9 | MOM: 1.0100000000000083E-5
T: 2018-09-14T08:00:00Z | O: 0.0014893 | H: 0.0014945 | L: 0.0014777 | C: 0.0014827 | V: 24485.83 | MOM: 7.700000000000025E-6
T: 2018-09-14T09:00:00Z | O: 0.0014837 | H: 0.0014911 | L: 0.001472 | C: 0.0014855 | V: 51666.54 | MOM: 1.5299999999999992E-5
T: 2018-09-14T10:00:00Z | O: 0.0014855 | H: 0.0014887 | L: 0.001475 | C: 0.0014828 | V: 17170.0 | MOM: 1.6300000000000125E-5
T: 2018-09-14T11:00:00Z | O: 0.0014828 | H: 0.001522 | L: 0.0014806 | C: 0.0015051 | V: 102939.74 | MOM: 3.6900000000000084E-5
T: 2018-09-14T12:00:00Z | O: 0.0015051 | H: 0.0015158 | L: 0.0015029 | C: 0.0015049 | V: 27842.19 | MOM: 3.319999999999994E-5
T: 2018-09-14T13:00:00Z | O: 0.0015049 | H: 0.0015252 | L: 0.0015011 | C: 0.0015124 | V: 60705.89 | MOM: 3.3799999999999846E-5
T: 2018-09-14T14:00:00Z | O: 0.0015124 | H: 0.0015157 | L: 0.0014977 | C: 0.001501 | V: 41048.72 | MOM: 1.9600000000000043E-5
T: 2018-09-14T15:00:00Z | O: 0.0014999 | H: 0.0015067 | L: 0.0014916 | C: 0.0015034 | V: 27568.62 | MOM: 3.110000000000005E-5
T: 2018-09-14T16:00:00Z | O: 0.0015033 | H: 0.0015136 | L: 0.0014992 | C: 0.0015118 | V: 31538.15 | MOM: 2.45E-5
T: 2018-09-14T17:00:00Z | O: 0.0015118 | H: 0.0015181 | L: 0.0015049 | C: 0.0015172 | V: 38424.14 | MOM: 2.6600000000000104E-5
T: 2018-09-14T18:00:00Z | O: 0.0015172 | H: 0.0015176 | L: 0.0014992 | C: 0.0015057 | V: 44557.93 | MOM: 2.240000000000011E-5
T: 2018-09-14T19:00:00Z | O: 0.0015057 | H: 0.0015325 | L: 0.0015048 | C: 0.0015225 | V: 51621.71 | MOM: 4.060000000000001E-5
T: 2018-09-14T20:00:00Z | O: 0.0015213 | H: 0.0015367 | L: 0.0015211 | C: 0.0015354 | V: 30235.37 | MOM: 4.419999999999988E-5
T: 2018-09-14T21:00:00Z | O: 0.0015354 | H: 0.001544 | L: 0.0015244 | C: 0.0015399 | V: 36707.18 | MOM: 5.060000000000004E-5
T: 2018-09-14T22:00:00Z | O: 0.0015398 | H: 0.001545 | L: 0.0015253 | C: 0.0015314 | V: 27169.6 | MOM: 4.8700000000000045E-5
T: 2018-09-14T23:00:00Z | O: 0.0015314 | H: 0.0015437 | L: 0.001521 | C: 0.0015399 | V: 38061.72 | MOM: 5.440000000000002E-5
